artist_name,artist_id
Yuri Buenaventura,7FIeKWN0FTtzvQ1i7Z1aTx
Ensemble vocal l'Alliance,6eijZA7sErchgIfHpGj5cn
Márcio Faraco,6n3BBw9YDpMMuQOftR9TzJ
The Cathedral Singers,6GCii6lkUhkzTrznRyCuVh
Luisito Ayala Y La Puerto Rican Power,2UoLlLFDkqewHH7EzaZcl7
Black Legend,4qLiTGMBoVE95pmqJPseOU
Kylie Minogue,4RVnAU35WRWra6OZ3CbbMA
Visage,0EPf9vAXPdFV5Ezp1sMX8B
Mägo de Oz,5ZNxiPcbKgaNcBrERMpqeu
Alabama 3,25zUD40u8M2kJmdcabBzrz
Pantera,14pVkFUHDL207LzLHtSA18
a-ha,2jzc5TC5TVFLXQlBNiIUzE
Electric Wizard,4htjQW3lgIwL6fEJlTOez4
Ray Parker Jr.,0NyzfcGDZZ6GM25EBG9BYK
PornoGraffitti,5jQa0f5MIMPEK7udL7UpI6
Highland,2tCqO4XjEGBFCMUfIokrGm
The Sugarhill Gang,7zliF6Q946WznVk3ZMYhZX
P!nk,1KCSPY1glIKqW2TotWuXOR
Carpenters,1eEfMU2AhEo7XnKgL7c304
Spice Girls,0uq5PttqEjj3IH1bzwcrXF
Gregorian,5QO1NNCLglKxgogzx6XLJn
blink-182,6FBDaR13swtiWwGhX1WQsP
Eagle-Eye Cherry,3ngKsDXZAssmljeXCvEgOe
Ennio Morricone,1nIUhcKHnK6iyumRyoV68C
Les Fils De Teuhpu,0MNXVnloSEVTmqTduBnJkt
Incubus,3YcBF2ttyueytpXtEzn1Za
Maxime Le Forestier,63daU3zd0ubMpG5sgOorgC
Sean Paul,3Isy6kedDrgPYoTS1dazA9
Mystikal,3LIJJJkO7R5RasRwt7xIn5
Travis Tritt,2M4Yt7oKGoYd0wqU44k4i2
Meiko Nakahara,0dIGBGRHRiNzdTpZofcJ3Z
Mohamed Allaoua,30LJsvmN82OwOWN5I67wog
Jairos,1MBzfd74cOVxzjjYRc4aaK
Viktor Lazlo,6el0K8vg1yRSOl3Dj6ucHK
Cheb Nasro,1qYpnd9rnstqqrGNYfwYNP
Carl Thomas,6I6t21SFbxZ7RbQgD5dN7U
Jack Off Jill,5ybsLFsFrRFXgdklfMryWD
Kamel Raiah,1yk9DSUACJnaVqz3LZJj0x
Antonio Caldara,5K2RzBcPJRkr7qrYwSQdH8
Alana Davis,2CQdVOUWYfEbxhWTgQdUwm
Tchavolo Schmitt,500N0I1rRpN81oULt3QUFY
Edoardo Vianello,1HGnzMzxvfaSkMi98DLkgo
Fairuz,0dwFxqYkvZLSA6U6XfQcDV
Sylvain Luc,2dXI8YsDDZSD3HgoNUvilF
Paris Combo,5xDjKV6UvzyrI3RnwHq02G
Azul Azul,0SWtMcmZLgP04Kj5x0eCxa
Jatin-Lalit,4YgUVg4p7xtMOrOS4GjiJZ
Duke Ellington,4F7Q5NV6h5TSwCainz8S5A
Matt Uelmen,0SpUOAVh9SJwJ7GNRPXqsI
666,76TM3QXivQvlLmZxdYxMZr
Embargo,0ZwRcPgB1LTTPSe8P4vDEi
NOFX,4S2yOnmsWW97dT87yVoaSZ
Madison Avenue,6otgz5gkB40UnWFwTy0VDh
Deltron 3030,2efzHZrUGhawnSOTpyAHOQ
Kings Of Tomorrow,2b8d0BREA7r3nbVhD649yX
Antonio Vivaldi,2QOIawHpSlOwXDvSqQ9YJR
No Doubt,0cQbJU1aAzvbEmTuljWLlF
Frédéric François,3cnwyMY43RufneO9RVu74L
Cyndi Lauper,2BTZIqw0ntH9MvilQ3ewNY
S Club,0HNGrIbq1ZNO2mTp3tMW4L
Vivian Reed,6W67TOlYK1M0cUSQkeuM8V
Five For Fighting,7FgMLbnZVrEnir95O0YujA
Boyz II Men,6O74knDqdv3XaWtkII7Xjp
Wes Montgomery,03YhcM6fxypfwckPCQV8pQ
Kıvırcık Ali Özütemiz,1tlFzIKFq6LStJu0O87rJb
Julien Clerc,7gVzeNvBbUpj6PXX5ekCMs
Samantha Mumba,7L12TqJ0fbwtFljTbwfwRI
Ricky Nelson,73sSFVlM6pkweLXE8qw1OS
Capleton,21J3YJTyq1biE3SvSNjzuf
Dino Merlin,7BjXGqrW02WB9cnLKKzwrK
DJ Quik,0b2XeWDPeBiLeskT6RFqMb
Silver Mt. Zion,0bRpSBtMd3stO4J6TWclMb
Lounès Matoub,0vRLSwQECg57KcsnhtQYUm
Wu-Tang Clan,34EP7KEpOjXcM2TCat1ISk
Claude Nougaro,115Iq0OjPxUUyWOIiF2pIR
Reda Taliani,2VTYaHMlKvQxlVW3k07NVt
Cheb Hasni,6AqjzYRx9TeJDzKhkSSHFx
Noa,6HwRSGDwpltqE6T0xQF8Xu
Four Tops,7fIvjotigTGWqjIz6EP1i4
Smyslovye Gallyutsinatsii,45HIeH1OpaQDBptDhcKrMo
Luigi Cherubini,1SXRDJxjOty2T43t4gXAnk
Sayon Camara,0U5lIWFWDrqgwN5tdlvB97
TNT Records,6yaSasUECDOhzdKlT7QVdN
Sheena Ringo,2XjqKvB2Xz9IdyjWPIHaXi
Tony Carreira,6w7nHPNj2BIGTEbRrefVyu
Anders Soldh,1vMa7vSLufTtqzniPXoV8T
Jussara Silveira,59RULa3Jap6Q7Pj1o9tb7T
Joan Sebastian,7FsRH5bw8iWpSbMX1G7xf1
Namaste,2cMEcZi1XBOTHlK3ULqQRN
Teddy Wilson,0tg5uVI4VjzZOFzBryJZii
Steve Earle,2UBTfUoLI07iRqGeUrwhZh
Sash!,5XTxV2ifoYkmNb13Gb6cKz
Eths,2IZkG4M2WcpLtfraGYJISf
The Hellacopters,1lsXuaLnHnfL7GoJXKkUtH
Ghostface Killah,6FD0unjzGQhX3b6eMccMJe
Richard Ashcroft,1HGTHrRQkw0BtevSo1jucU
Katsuo Ohno,3qqjOqSKN1IKax9C8VmFmZ
Cut Killer,1qBSTVOOFSTKWn3TQUtWqw
Tha Eastsidaz,51FyBBOW464toW099BsW8z
The Mighty Bop,3QJR3Dzq3qUDl40cV3XsTl
Moodymann,6pohviZSNRueSX7uNu63ZX
Kheops,7g9QCyx9r1R424eMqNtM2g
Godspeed You! Black Emperor,4svpOyfmQKuWpHLjgy4cdK
Jagged Edge,7Aq8lpLMSt1Zxu56pe9bmp
Thione Seck,5aMdbTrsvS5t6nDSrQDQaV
The Three Tenors,3DkkiE0G5N1d1AOG6yTMOo
Sticky Fingaz,6NFWb2y6S7PH2yvs5xbO2y
Soul Asylum,02da1vDJ2hWqfK7aJL6SJm
Jacques Loussier,1VIbVO1ahhBhe1l8dEe245
Vengaboys,0cwmNvclzPd8mQnoHuIksj
Cyrus Chestnut,319U6LVt3j3iT9oAEzrpRO
Vicente Amigo,4uo8Bp99zyj8HQW1ynweoY
Grandaddy,3W4xM5XYtUp4ifYYPVKVdk
Etta James,0iOVhN3tnSvgDbcg25JoJb
John Hiatt,4Sld5LOPbAm1QSq9U32fFV
Daoudi,1gt3FXZs5qEkfF9mFxpYe2
Jay Chou,2elBjNSdBE2Y3f0j1mjrql
Свидетельство О Смерти,5VnrZRYzaatWXs702ScGwN
The Clientele,3xZBpeXHkSjTKQIR1OeKN0
La chorale du collège de Notre-Dame de Valbenoîte de Saint-Etienne,2m5nTPF3brnEzoa1UFa4cq
"Choir of New College, Oxford",37f8YYDNWUstg5p859gMxe
Shyne,64ovxBmjJ9ZDqkzEXVWpVc
Beenie Man,4L3GTE04bW5N7azA9QPhjA
Chris Barber,22La2Rm0bDntXkMXGhNQgU
Sonia Dersion,0tP66iM8PDoyBOYxcpKn4E
George Wassouf,7Ddov9nbJDbpgzvBVb7cU1
Cassiya,2OIKHs5XFIbEcwpLaIdLSo
Roger Waters,40DqL6Tv84cKT2pH2NMs9r
Ehab Tawfik,7AuBGlcUaHok37yr6u963C
Dybbukk,0UAfgrYSLcjHNocndTNjhH
Yves Montand,5ru2x3pjrNn67D22BRwlFP
Domenico Modugno,4llklDtTTyMYMY2LfFOkTI
Hollywood Strings Orchestra,2HwEDVH9zmmfyiLEAlqcO0
Deva Premal,2970BxpdOBQmkMit6i9kVF
Spineshank,6fmbbxNvgHkglIakp1Wrv4
Cradle Of Filth,0NTSMFFapnyZfvmCwzcYPd
Muse,12Chz98pHFMPJEknJQMWvI
Enhancer,1ZMwAUWdG4agL20Lxsv5Ah
Sektor Gaza,4W4XLF8i9cHVqwASg8Kqv6
Amon Tobin,3mvkWMe6swnknwscwvGCHO
Doves,0LVrQUinPUBFvVD5pLqmWY
Високосный год,10UPD0hnLly2IFzYvszUSi
Porcupine Tree,5NXHXK6hOCotCF8lvGM1I0
Sinsémilia,7xtiaP8V8z95pASVuIrCRY
Necro,51vjIMmHWyVqDrkxD07Jh7
Zut,6co5KIJVQRz4rE3MICmM1O
Reamonn,4VH2QabEORUUhN1F1cYQ6N
Young Dubliners,6goa2f1QVVT8aqSxKWnsVj
Midge Ure,2N4isf5pypyuDVpBofqEN8
Lil' Kim,5tth2a3v0sWwV1C7bApBdX
